OBJECTID,distance,angle,xcoord,ycoord
1,0.000000000000000,105.233831299974540,44.779058280000015,41.709831375000014
1,20.000000000000000,105.233831299974540,44.779290398113091,41.709784487022674
1,40.000000000000000,93.500687146540514,44.779524315489077,41.709745922290900
1,60.000000000000000,42.650573037479866,44.779745555158499,41.709799014256070
1,80.000000000000000,15.690313486461889,44.779860368701762,41.709954600297088
1,100.000000000000000,15.690313486461889,44.779924791526582,41.710128153456701
1,120.000000000000000,15.690313486461889,44.779989214696108,41.710301706575798
1,140.000000000000000,19.791326018763822,44.780068712644919,41.710471677682925
1,160.000000000000000,19.791326018763822,44.780149535512315,41.710641334004102
1,180.000000000000000,19.791326018763822,44.780230358803045,41.710810990264449
1,200.000000000000000,26.220093122541897,44.780312632548885,41.710980188399859
1,220.000000000000000,26.220093122541897,44.780418299734499,41.711141996632477
1,240.000000000000000,27.449552444054547,44.780528198828229,41.711302210887361
1,260.000000000000000,29.486420602690355,44.780641524345349,41.711461051805777
1,280.000000000000000,29.486420602690355,44.780759325347127,41.711618085484965
1,300.000000000000000,25.665360699559841,44.780874251321393,41.711776237367587
1,320.000000000000000,30.990038789599712,44.780978588591331,41.711938497734501
1,340.000000000000000,30.990038789599712,44.781101849927659,41.712093160778231
1,360.000000000000000,30.990038789599712,44.781225111853907,41.712247823686994
1,380.000000000000000,34.115824413417009,44.781355932450651,41.712398891419113
1,400.000000000000000,34.162266989574590,44.781490357154993,41.712548242315385
1,420.000000000000000,22.432428046431706,44.781596271124407,41.712709017496302
1,440.000000000000000,22.432428046431706,44.781687448301462,41.712875701660224
1,460.000000000000000,9.524338778827650,44.781726657969998,41.713053428746093
1,480.000000000000000,326.356003837784556,44.781635793870841,41.713217372864875
1,500.000000000000000,307.655781786878777,44.781475727740691,41.713348577884339
1,520.000000000000000,301.297180751012775,44.781277885816834,41.713450442052341
1,540.000000000000000,312.115420023036904,44.781075855524648,41.713547388509504
1,560.000000000000000,312.115420023036904,44.780897104667794,41.713667855944877
1,580.000000000000000,312.115420023036904,44.780718353143648,41.713788323098086
1,600.000000000000000,312.115420023036904,44.780539600952189,41.713908789969089
1,620.000000000000000,312.115420023036904,44.780360848093430,41.714029256557907
1,640.000000000000000,312.115420023036904,44.780182094567344,41.714149722864526
1,660.000000000000000,312.115420023036904,44.780003340373945,41.714270188888953
1,680.000000000000000,326.869620259060184,44.779842371540568,41.714402098717699
1,700.000000000000000,326.869620259060184,44.779710455473435,41.714552702216487
1,720.000000000000000,326.869620259060184,44.779578538789558,41.714703305558395
1,740.000000000000000,331.481887025414665,44.779463059168947,41.714861300607161
1,760.000000000000000,331.481887025414665,44.779347731378273,41.715019364065498
1,780.000000000000000,331.481887025414665,44.779232403021297,41.715177427402352
1,800.000000000000000,335.310390514640233,44.779127437077157,41.715339404440783
1,820.000000000000000,335.310390514640233,44.779026450736843,41.715502884568529
1,840.000000000000000,335.310390514640233,44.778925463883311,41.715666364601624
1,860.000000000000000,335.310390514640233,44.778824476516547,41.715829844540075
1,880.000000000000000,335.310390514640233,44.778723488636565,41.715993324383845
1,900.000000000000000,358.322039603265068,44.778682600710773,41.716167474683594
1,920.000000000000000,4.495835970594180,44.778675720950787,41.716347511978562
1,940.000000000000000,4.495835970594180,44.778693951215473,41.716527134919907
1,960.000000000000000,9.644438163950127,44.778719370435304,41.716706103864723
1,980.000000000000000,359.051943984756917,44.778755091973139,41.716883993648949
1,1000.000000000000000,359.051943984756917,44.778750496091227,41.717064102246809
1,1020.000000000000000,359.051943984756917,44.778745900181463,41.717244210838793
1,1040.000000000000000,332.988029154147284,44.778699211498591,41.717416381791203
1,1060.000000000000000,326.623779156957198,44.778587035234288,41.717575596777522
1,1080.000000000000000,326.623779156957198,44.778454248468165,41.717725773232651
1,1100.000000000000000,325.667083795479925,44.778319564975014,41.717874991228229
1,1120.000000000000000,320.134050406750873,44.778176254017886,41.718019386654760
1,1140.000000000000000,320.134050406750873,44.778021661492467,41.718157355504005
1,1160.000000000000000,323.388680274247463,44.777872963859011,41.718298823404091
1,1180.000000000000000,320.482921915929637,44.777727382448568,41.718442147373288
1,1200.000000000000000,320.482921915929637,44.777573912075155,41.718580818303266
1,1220.000000000000000,327.375320581198139,44.777435519900251,41.718727763248715
1,1240.000000000000000,327.375320581198139,44.777305368587434,41.718879230381802
1,1260.000000000000000,327.375320581198139,44.777175216662499,41.719030697361973
1,1280.000000000000000,327.375320581198139,44.777045064125403,41.719182164189228
1,1300.000000000000000,324.235402352890389,44.776912394806423,41.719332342818767
1,1320.000000000000000,324.235402352890389,44.776771362844045,41.719478240706074
1,1340.000000000000000,324.235402352890389,44.776630330242995,41.719624138415007
1,1360.000000000000000,317.131938194545342,44.776472417683877,41.719759624181371
1,1380.000000000000000,317.131938194545342,44.776308385105658,41.719891335082366
1,1400.000000000000000,320.145610395533822,44.776146697428175,41.720024601048465
1,1420.000000000000000,320.145610395533822,44.775992132906261,41.720162590463438
1,1440.000000000000000,320.145610395533822,44.775837567722675,41.720300579665576
1,1460.000000000000000,320.145610395533822,44.775683001877375,41.720438568654863
1,1480.000000000000000,321.612394983342597,44.775529245432779,41.720577053649649
1,1500.000000000000000,321.612394983342597,44.775379443472126,41.720717961232289
1,1520.000000000000000,321.612394983342597,44.775229640856487,41.720858868614577
1,1540.000000000000000,321.612394983342597,44.775079837585835,41.720999775796507
1,1560.000000000000000,321.612394983342597,44.774930033660162,41.721140682778049
1,1580.000000000000000,321.612394983342597,44.774780229079482,41.721281589559247
1,1600.000000000000000,321.612394983342597,44.774630423843774,41.721422496140057
1,1620.000000000000000,321.612394983342597,44.774480617953039,41.721563402520474
1,1640.000000000000000,320.802264636179927,44.774330585656635,41.721704172021013
1,1660.000000000000000,320.802264636179927,44.774178134195047,41.721843477044629
1,1680.000000000000000,320.802264636179927,44.774025682074488,41.721982781860959
1,1700.000000000000000,320.802264636179927,44.773873229294963,41.722122086470030
1,1720.000000000000000,320.802264636179927,44.773720775856447,41.722261390871815
1,1740.000000000000000,320.802264636179927,44.773568321758951,41.722400695066320
1,1760.000000000000000,320.802264636179927,44.773415867002463,41.722539999053545
1,1780.000000000000000,321.742738002078340,44.773264633546013,41.722680040949768
1,1800.000000000000000,321.742738002078340,44.773115249998277,41.722821200465582
1,1820.000000000000000,321.742738002078340,44.772965865796117,41.722962359782059
1,1840.000000000000000,321.742738002078340,44.772816480939568,41.723103518899251
1,1860.000000000000000,321.742738002078340,44.772667095428602,41.723244677817121
1,1880.000000000000000,321.742738002078340,44.772517709263205,41.723385836535705
1,1900.000000000000000,321.742738002078340,44.772368322443391,41.723526995054954
1,1920.000000000000000,321.742738002078340,44.772218934969139,41.723668153374888
1,1940.000000000000000,321.742738002078340,44.772069546840449,41.723809311495501
1,1960.000000000000000,321.742738002078340,44.771920158057320,41.723950469416806
1,1980.000000000000000,321.742738002078340,44.771770768619746,41.724091627138776
1,2000.000000000000000,321.742738002078340,44.771621378527712,41.724232784661432
1,2020.000000000000000,321.742738002078340,44.771471987781219,41.724373941984744
1,2040.000000000000000,321.296062005781323,44.771321875350111,41.724514667395269
1,2060.000000000000000,321.296062005781323,44.771171018919546,41.724654947530297
1,2080.000000000000000,321.296062005781323,44.771020161832233,41.724795227462195
1,2100.000000000000000,321.296062005781323,44.770869304088166,41.724935507190949
1,2120.000000000000000,321.296062005781323,44.770718445687336,41.725075786716587
1,2140.000000000000000,321.296062005781323,44.770567586629731,41.725216066039053
1,2160.000000000000000,321.296062005781323,44.770416726915371,41.725356345158417
1,2180.000000000000000,321.296062005781323,44.770265866544229,41.725496624074630
1,2200.000000000000000,319.761849938781950,44.770110062357205,41.725633836673545
1,2220.000000000000000,335.447978322611164,44.769967078768161,41.725777177128059
1,2240.000000000000000,33.079229236332431,44.770018042790859,41.725941926037315
1,2260.000000000000000,50.452955747853871,44.770176924104163,41.726074648243340
1,2280.000000000000000,49.914194246377633,44.770360791793259,41.726190740910873
1,2300.000000000000000,49.914194246377633,44.770544353841167,41.726307107045578
1,2320.000000000000000,49.914194246377633,44.770727916551905,41.726423472886367
1,2340.000000000000000,54.227129795149210,44.770922587592530,41.726529219192621
1,2360.000000000000000,54.227129795149210,44.771117313478278,41.726634913346146
1,2380.000000000000000,47.596543153434666,44.771299262288579,41.726752326923595
1,2400.000000000000000,324.862306988631246,44.771288288793627,41.726907453150986
